,a,n,x,y,z,label
0,0.5,1,"(-1.1309449519875083, -1.1884571137268238)",0,-1.1893344250865523,train
1,0.5,1,"(-2.0508529669799977, 0.1447778628612916)",0,0.13503719135287062,train
2,0.5,1,"(13.821541826749861, 0.01849289612275208)",1,-0.9776426590199285,train
3,0.5,1,"(-15.377151077834956, 2.7477662177027744)",1,1.7817950973832601,train
4,0.5,1,"(-0.4326569230749737, -1.0056375034530007)",0,-1.0134922519033165,train
5,0.5,1,"(12.908555837167357, 1.3734777914706995)",0,1.3712912346627832,train
6,0.5,1,"(6.316073465434466, 0.25179181583344096)",0,0.2552069978477688,train
7,0.5,1,"(-9.539140362305558, -1.0904010516806157)",0,-1.100541115964122,train
8,0.5,1,"(5.250367173360788, 1.1924303318869058)",1,0.18528986642048872,train
9,0.5,1,"(1.2286061861022748, 1.5523423656745212)",1,0.5536165431114346,train
10,0.5,1,"(-20.50138811360522, -1.090103409925857)",0,-1.1050316202087123,train
11,0.5,1,"(-4.049309911572946, 0.2849262601499127)",0,0.2760287151576839,train
12,0.5,1,"(3.529664941749886, 2.204203564857507)",1,1.2127716126358141,train
13,0.5,1,"(0.6654301400600059, 1.9676576289961294)",1,0.9711325654747032,train
14,0.5,1,"(3.3206277518313043, 0.3402461727978931)",1,-0.6516060420643877,train
15,0.5,1,"(0.040252752908586764, -1.0768857892309536)",1,-2.0821678328207405,train
16,0.5,1,"(-0.5284753143675016, -0.8952898193435317)",0,-0.890640846433169,train
17,0.5,1,"(-9.152123876292592, 1.6295639292179558)",1,0.6385558681178591,train
18,0.5,1,"(-2.718747522628805, 0.2477958248219486)",1,-0.7529998776306788,train
19,0.5,1,"(11.138080181598001, 1.2324899611850877)",0,1.2364559152436179,train
20,0.5,1,"(15.80601023451384, 1.1229359217168497)",1,0.10845937661394373,train
21,0.5,1,"(-2.575498269298615, 0.2793837871790179)",1,-0.7136011315212603,train
22,0.5,1,"(8.446408370593042, 3.2781000243471046)",1,2.2815337673846163,train
23,0.5,1,"(-15.709659029254166, 1.9644183489410514)",1,0.9616519021580744,train
24,0.5,1,"(-12.871971656080019, 0.49810570466118315)",0,0.47701232240689095,train
25,0.5,1,"(3.6642456957924368, 0.2580681428140875)",0,0.2590116128678054,train
26,0.5,1,"(0.290624732677754, 1.2097405476166985)",0,1.215122876252959,train
27,0.5,1,"(5.247341701517259, 2.8674041723843007)",1,1.8529411441012011,train
28,0.5,1,"(0.051383624517278736, -1.4715580001414816)",0,-1.4615274619648466,train
29,0.5,1,"(1.0485791209259834, 2.3396632534616892)",1,1.3201852221282806,train
30,0.5,1,"(0.9943324419337449, 0.8373286338141787)",1,-0.1673686836371443,train
31,0.5,1,"(-1.1488514260649838, 1.0750923422490084)",1,0.07715963337368459,train
32,0.5,1,"(-2.0778094752552314, -0.7129022173595175)",0,-0.7156620540076655,train
33,0.5,1,"(9.576347003764631, 1.1665137084240536)",0,1.16757714150885,train
34,0.5,1,"(12.63019321318968, 0.04518045202253734)",0,0.05844283357048541,train
35,0.5,1,"(3.0090496639386934, -0.8284834432978136)",1,-1.8189472303676446,train
36,0.5,1,"(25.65307355951626, 2.2530601941910406)",1,1.243915434557281,train
37,0.5,1,"(-11.8839012016691, 3.1215003304508637)",1,2.115292873126635,train
38,0.5,1,"(9.603106161274534, 0.69249925534949)",1,-0.3037577598703274,train
39,0.5,1,"(-10.118347319091761, 2.6018391165157055)",1,1.5948433240838862,train
